broker, subs, notifs, notif_speed, entities, avg_delay, throughput
SILBOPS_MOCKED_CB,1,1000000,1000,10,3165.0,999.9624020350394
SILBOPS_MOCKED_CB,10,1000000,1000,10,1986.0,999.9544081835329
SILBOPS_MOCKED_CB,100,1000000,1000,10,2008.0,999.9544094939256
SILBOPS_MOCKED_CB,1000,1000000,1000,10,2126.0,999.9583841970925
SILBOPS_MOCKED_CB,10000,1000000,1000,10,4969.0,999.9534709208104
SILBOPS_MOCKED_CB,50000,1000000,1000,10,3.19306948E8,630.5545028815521
SILBOPS_MOCKED_CB,1,1000000,5000,10,5699.0,4999.02761571373
SILBOPS_MOCKED_CB,10,1000000,5000,10,4651.0,4998.8206214342235
SILBOPS_MOCKED_CB,100,1000000,5000,10,5124.0,4998.848846151963
SILBOPS_MOCKED_CB,1000,1000000,5000,10,5694.0,4998.845543552484
SILBOPS_MOCKED_CB,10000,1000000,5000,10,3.6105315E7,4028.5339209896597
SILBOPS_MOCKED_CB,50000,1000000,5000,10,7.18074726E8,637.3756440742039
SILBOPS_MOCKED_CB,1,1000000,10000,10,6534.0,9995.712587453474
SILBOPS_MOCKED_CB,10,1000000,10000,10,8113.0,9995.581426622864
SILBOPS_MOCKED_CB,100,1000000,10000,10,9177.0,9996.142272972764
SILBOPS_MOCKED_CB,1000,1000000,10000,10,14215.0,9996.040101218878
SILBOPS_MOCKED_CB,10000,1000000,10000,10,8.0707869E7,4407.365419920306
SILBOPS_MOCKED_CB,50000,1000000,10000,10,7.40612569E8,665.1143030417031
SILBOPS_MOCKED_CB,1,1000000,20000,10,10898.0,12286.613764723914
SILBOPS_MOCKED_CB,10,1000000,20000,10,10671.0,11155.120449736016
SILBOPS_MOCKED_CB,100,1000000,20000,10,14625.0,10500.785133472691
SILBOPS_MOCKED_CB,1000,1000000,20000,10,16139.0,10946.736964463633
SILBOPS_MOCKED_CB,10000,1000000,20000,10,8.0960633E7,4722.212236681286
SILBOPS_MOCKED_CB,50000,1000000,20000,10,7.55333371E8,662.5944834582826
SILBOPS_MOCKED_CB,1,1000000,1000000,10,11430.0,15277.610699795496
SILBOPS_MOCKED_CB,10,1000000,1000000,10,11696.0,12108.970981402339
SILBOPS_MOCKED_CB,100,1000000,1000000,10,15705.0,12244.082692499751
SILBOPS_MOCKED_CB,1000,1000000,1000000,10,15825.0,12245.363884478482
SILBOPS_MOCKED_CB,10000,1000000,1000000,10,8.7144362E7,4920.13781471295
SILBOPS_MOCKED_CB,50000,1000000,1000000,10,7.55333371E8,662.5944834582826
CONTEXT_BROKER,1,100000,1000000,10,6325.0,11032.48633000965
CONTEXT_BROKER,10,100000,1000000,10,3989.0,4186.087937535255
CONTEXT_BROKER,100,100000,1000000,10,7936.0,2406.7820964149723
CONTEXT_BROKER,1000,100000,1000000,10,51950.0,312.00202156681746
MULTI_CONTEXT_BROKER,1,100000,1000000,10,4239.0,15725.020873921516
MULTI_CONTEXT_BROKER,10,100000,1000000,10,2522.0,7802.518707793392
MULTI_CONTEXT_BROKER,100,100000,1000000,10,8757.0,3865.773040236063
MULTI_CONTEXT_BROKER,1000,100000,1000000,10,55676.0,425.08105090186973
CONTEXT_BROKER_GLOBAL_SUBS,1,100000,1000000,10,4405.0,8902.154165585258
MULTI_CONTEXT_BROKER_GLOBAL_SUBS,1,1000000,1000000,10,2550.0,13695.572192159667
SILBOPS_MOCKED_CB,1,1000000,1000000,10,12234.0,13963.639445692252
SILBOPS_MOCKED_CB,1,1000000,1000000,1,0.0,1000000.0000000001
SILBOPS_MOCKED_CB,1,1000,1000000,1,0.0,6337.709370755997
SILBOPS_MOCKED_CB,1,100000,1000000,1,0.0,5349.309939017867
SILBOPS_MOCKED_CB,1,100000,100000,1,0.0,4628.848587094054
SILBOPS_MOCKED_CB,1,100000,100000,1,0.0,4422.100062626123
SILBOPS_MOCKED_CB,1,50000,100000,1,0.0,2913.0211013896037
SILBOPS_MOCKED_CB,10,50000,100000,1,0.0,2785.5993563958164
SILBOPS_MOCKED_CB,1,1000000,1000000,10,11036.0,13836.013709464805
SILBOPS_MOCKED_CB,1,1000000,1000000,100,25775.0,13834.999889142631
SILBOPS_MOCKED_CB,1,1000000,1000000,100,15277.0,15706.86439925406
SILBOPS_MOCKED_CB,1,1000000,1000000,10,16248.0,14492.265930836447
ONLY_SILBOPS,30000,100000,100000,1,12764.871074802144
